financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
103,167,4.1,92,56,1070-1290,88,#68Tie,53,25,20.8,21:1,/best-colleges/texas-am-college-station-10366,"College Station, TX",57795,"in-state: $9,180, out-of-state: $26,356",75,Texas A&M University—​College Station,32,92,81,78,6,69.2,3.6,22.4
97,38,4,96,50,1220-1410,50,#68Tie,64,11,65.3,14:1,/best-colleges/wpi-2233,"Worcester, MA",6296,"$42,778",84,Worcester Polytechnic Institute,75,87.1,81,91,-3,51.6,2.9,14.1
103,77,4,92,73,1090-1330,94,#70,38,21,35.2,13:1,/best-colleges/rutgers-6964,"Piscataway, NJ",48036,"in-state: $13,813, out-of-state: $28,591",75,"Rutgers, The State University of New Jersey—​New Brunswick",156,82.4,79,74,4,59.5,3.4,7.9
89,73,4,90,73,1160-1350,64,#71Tie,47,2,47.3,12:1,/best-colleges/american-university-1434,"Washington, DC",12819,"$41,833",83,American University,147,78.6,80,78,-3,43.1,3.1,8.5
110,49,4.1,86,94,24-29,79,#71Tie,42,10,50.7,15:1,/best-colleges/baylor-university-6967,"Waco, TX",15616,"$38,290",77,Baylor University,65,92.8,75,75,-2,57.5,3.2,15.3
74,47,3.8,86,99,23-28,126,#71Tie,24,12,54.8,16:1,/best-colleges/university-of-iowa-1892,"Iowa City, IA",31065,"in-state: $8,079, out-of-state: $27,409",65,University of Iowa,132,97.8,70,57,5,80.2,3.5,9.4
43,147,3.9,90,91,26-30,58,#71Tie,45,20,38.5,17:1,/best-colleges/university-of-minnesota-3969,"Minneapolis, MN",51526,"in-state: $13,626, out-of-state: $20,876",78,University of Minnesota—​Twin Cities,127,86.4,75,82,-3,44.4,3.6,9.8
117,167,4,92,50,1120-1320,94,#71Tie,41,20,27.3,16:1,/best-colleges/virginia-tech-3754,"Blacksburg, VA",31205,"in-state: $12,017, out-of-state: $27,444",78,Virginia Tech,90,94.7,83,83,5,70.3,3.4,12.6
145,65,3.8,90,67,1110-1320,88,#76Tie,38,5,57.5,10:1,/best-colleges/clark-university-massachusetts-2139,"Worcester, MA",3551,"$40,730",76,Clark University,60,85.6,81,73,5,61.5,2.8,16.3
156,164,4,89,86,1060-1290,99,#76Tie,35,17,36,18:1,/best-colleges/indiana-university-1809,"Bloomington, IN",46817,"in-state: $10,388, out-of-state: $33,241",70,Indiana University—​Bloomington,75,94.3,77,70,7,72.2,3.6,14.2
110,157,3.9,89,67,25-29,81,#76Tie,36,13,40.7,14:1,/best-colleges/marquette-university-3863,"Milwaukee, WI",11782,"$35,930",73,Marquette University,65,78.1,78,69,5,57.5,3,15.1
205,176,3.9,89,62,25-30,71,#76Tie,39,12,29.6,18:1,/best-colleges/miami-university-7104,"Oxford, OH",17901,"in-state: $14,287, out-of-state: $30,394",73,Miami University—​Oxford,46,90.4,81,71,8,66.8,3.1,19.1
